MN_No,MA_No,Mapping_Quality,Pali_Name,Expected_Han,Found_Han,Status,Pali_Text,Han_Text
1,106,TRUE_PAIR,mara,魔|波旬,,MISSING,nandī dukkhassa mūla nti iti viditvā bhavā jāti bhūtassa jarāmaraṇa nti,彼計一切即是神已 便不知一切
5,87,SOFT,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,āvuso ti kho te bhikkhū āyasmato sāriputtassa paccassosuṃ āyasmā sāriputto etadavoca,爾時 尊者舍梨子告諸比丘 諸賢 世有四種人 云何為四 或有一人內實有穢不自知 內有穢不知如真 或有一人內實有穢自知 內有穢知如真 或有一人內實無穢不自知 內無穢不知如真 或有一人內實無穢自知 內無穢知如真
5,87,TRUE_PAIR,sariputta,舍利弗|舍梨子,,MISSING,evaṃ vutte āyasmā mahāmoggallāno āyasmantaṃ sāriputtaṃ etadavoca,賢者 或有一人心生如是欲 諸居士往詣眾園時 令我與共會共集 共坐共論 莫令餘比丘諸居士往詣眾園時 與共會共集 共坐共論 賢者 或有餘比丘諸居士往詣眾園時 與共會共集 共坐共論 彼因餘比丘諸居士往詣眾園時 與共會共集 共坐共論故 心便生惡 若
5,87,TRUE_PAIR,sariputta,舍利弗|舍梨子,,MISSING,ko nu kho āvuso sāriputta hetu ko paccayo yenimesaṃ dvinnaṃ puggalānaṃ sāṅgaṇānaṃyeva sataṃ eko hīnapuriso akkhāyati eko,賢者 或有一人心生如是欲 令我為王者所識 及王大臣 梵志 居士 國中人民所知重 莫令餘比丘為王者所識 及王大臣 梵志 居士 國中人民所知重 賢者 或有餘比丘為王者所識 及王大臣 梵志 居士 國中人民所知重 彼因餘比丘為王者所識 及王大臣 梵
5,87,TRUE_PAIR,sariputta,舍利弗|舍梨子,,MISSING,ko panāvuso sāriputta hetu ko paccayo yenimesaṃ dvinnaṃ puggalānaṃ anaṅgaṇānaṃyeva sataṃ eko hīnapuriso akkhāyati eko se,賢者 或有一人心生如是欲 令我為四眾比丘 比丘尼 優婆塞 優婆私所敬重 莫令餘比丘為四眾比丘 比丘尼 優婆塞 優婆私所敬重 賢者 或有餘比丘為四眾比丘 比丘尼 優婆塞 優婆私所敬重 彼因餘比丘為四眾比丘 比丘尼 優婆塞 優婆私所敬重故 心便
5,87,TRUE_PAIR,mara,魔|波旬,,MISSING,seyyathāpi āvuso kaṃsapāti ābhatā āpaṇā vā kammārakulā vā rajena ca malena ca pariyonaddhā,賢者 如是彼人若有諸智梵行者 不知彼生如是無量惡不善心欲者 如是彼非沙門沙門想 非智沙門智沙門想 非正智正智想 非正念正念想 非清淨清淨想 賢者 如是彼人若有諸智梵行者 知彼生如是無量惡不善心欲者 如是彼非沙門非沙門想 非智沙門非智沙門想 
5,87,TRUE_PAIR,brahma,梵天|梵,,MISSING,lūkhacīvaradharo atha kho naṃ sabrahmacārī na ceva sakkaronti na garuṃ karonti na mānenti na pūjenti,經過店肆 近眾人行 彼眾見已 皆不欲食 無愛樂意 甚憎惡之 生不淨想 便作是說 即彼糞去 即彼糞去 彼持去已 住在一處便開示之 眾人見已 則皆欲食 意甚愛樂而不憎惡 則生淨想 彼若本不用食者 見已欲食 況復其本欲得食耶
5,87,TRUE_PAIR,sakka,帝釋|天帝釋,,MISSING,lūkhacīvaradharo atha kho naṃ sabrahmacārī na ceva sakkaronti na garuṃ karonti na mānenti na pūjenti,經過店肆 近眾人行 彼眾見已 皆不欲食 無愛樂意 甚憎惡之 生不淨想 便作是說 即彼糞去 即彼糞去 彼持去已 住在一處便開示之 眾人見已 則皆欲食 意甚愛樂而不憎惡 則生淨想 彼若本不用食者 見已欲食 況復其本欲得食耶
5,87,TRUE_PAIR,brahma,梵天|梵,,MISSING,ca kiñcāpi so hoti gāmantavihārī nemantaniko gahapaticīvaradharo atha kho naṃ sabrahmacārī sakkaronti,尊者舍梨子告曰 賢者大目揵連 欲說喻者便可說之
5,87,TRUE_PAIR,sakka,帝釋|天帝釋,,MISSING,ca kiñcāpi so hoti gāmantavihārī nemantaniko gahapaticīvaradharo atha kho naṃ sabrahmacārī sakkaronti,尊者舍梨子告曰 賢者大目揵連 欲說喻者便可說之
5,87,TRUE_PAIR,mara,魔|波旬,,MISSING,seyyathāpi āvuso kaṃsapāti ābhatā āpaṇā vā kammārakulā vā parisuddhā pariyodātā,得食 渴欲得飲 口及意也
7,93,TRUE_PAIR,brahma,梵天|梵,梵,VARIANT,tadanuttaraṃ brahmacariyapariyosānaṃ diṭṭhevadhamme sayaṃ abhiññā sacchikatvā upasampajja vihāsi,梵志白曰 世尊 我已知 善逝 我已解 我今自歸佛 法及比丘眾 唯願世尊受我為優婆塞 從今日始 終身自歸 乃至命盡
9,29,TRUE_PAIR,sariputta,舍利弗|舍梨子,舍梨子,VARIANT,evamāvuso ti kho te bhikkhū āyasmato sāriputtassa paccassosuṃ āyasmā sāriputto etadavoca,尊者舍梨子問曰 賢者大拘絺羅 頗有事因此事 比丘成就見 得正見 於法得不壞淨 入正法耶
13,99,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,atha kho sambahulā bhikkhū pubbaṇhasamayaṃ nivāsetvā pattacīvaramādāya sāvatthiṃ piṇḍāya pāvisiṃsu,爾時 諸比丘於中食後 少有所為 集坐講堂 於是眾多異學 中後仿佯往詣諸比丘所 共相問訊 却坐一面 語諸比丘 諸賢 沙門瞿曇施設知斷欲 施設知斷色 施設知斷覺 諸賢 我等亦施設
13,99,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,atha kho tesaṃ bhikkhūnaṃ etadahosi atippago kho tāva sāvatthiyaṃ piṇḍāya carituṃ yaṃ nūna mayaṃ yena aññatitthiyānaṃ pa,於是 諸比丘聞彼眾多異學所說 不是亦不非 默然起去 並作是念 如此所說 我等當從世尊得知 便詣佛所 稽首作禮 却坐一面 謂與眾多異學所可共論 盡向佛說
13,99,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,atha kho te bhikkhū sāvatthiyaṃ piṇḍāya caritvā pacchābhattaṃ piṇḍapātapaṭikkantā yena bhagavā,復次 眾生因欲緣欲 以欲為本故 著鎧被袍 持矟弓箭 或執刀楯往奪他國 攻城破塢 共相格戰 打鼓吹角 高聲喚呼 或以
13,99,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,ekamantaṃ nisinnā kho te bhikkhū bhagavantaṃ etadavocuṃ idha mayaṃ bhante pubbaṇhasamayaṃ nivāsetvā pattacīvaramādāya sā,王人所捉 種種考治 截手 截足或截手足 截耳 截鼻或截耳鼻 或臠臠割 拔鬚 拔髮或拔鬚髮 或著檻中衣裹火燒 或以沙壅草纏火𤋲 或內鐵驢腹中 或著鐵猪口中 或置鐵虎口中燒 或安銅釜中 或著鐵釜中煮 或段段截 或利叉
13,99,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,tesaṃ no bhante amhākaṃ etadahosi atippago kho tāva sāvatthiyaṃ piṇḍāya carituṃ yaṃ nūna mayaṃ yena aññatitthiyānaṃ pari,刺 或鐵鉤鉤 或臥鐵床以沸油澆 或坐鐵臼以鐵杵擣 或龍蛇蜇 或以鞭鞭 或以杖撾 或以棒打 或生貫高標上 或梟其首 彼在其中 或死或怖 受極重苦 是謂現法苦陰 因欲緣欲 以欲為本
14,100,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,tena kho pana samayena sambahulā nigaṇṭhā isigilipasse kāḷasilāyaṃ ubbhaṭṭhakā honti āsanapaṭikkhittā opakkamikā dukkhā ,摩訶男 是故當知欲一向無樂 無量苦患 多聞聖弟子不見如真者 彼為欲所覆 不得捨樂及無上息 摩訶男 如是彼多聞聖弟子因欲退轉 摩訶男 我知欲無樂 無量苦患 我知如真已 摩訶男 不為欲所覆 亦不為惡所纏 便得捨樂及無上息 摩訶男 是故我不因欲退
14,100,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,ahaṃ kho āvuso nigaṇṭhā pahomi aniñjamāno kāyena abhāsamāno vācaṃ ekaṃ rattindivaṃ ekantasukhaṃ paṭisaṃvedī viharituṃ,摩訶男 我復問曰 諸尼揵 汝等信尊師無有疑耶 彼復答我 如是 瞿曇 我等信尊師無有疑惑 摩訶男 我復問曰 尼揵 若爾者 汝等尊師尼揵本重作惡不善之業 彼本作尼揵死 今生人間出家作尼揵 行不坐行 常立不坐 受如是苦 如汝等輩及弟子也 彼復語我
14,100,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,ahaṃ kho āvuso nigaṇṭhā pahomi aniñjamāno kāyena abhāsamāno vācaṃ dve rattindivāni tīṇi rattindivāni,頻鞞娑羅王樂 沙門瞿曇不如也
