Pali_Word,N_Han_Variants,Translation_Entropy,Primary_Han,Primary_Score,All_Han_Variants,All_Scores,Interpretation
rathavinitam,5,2.322,第三,76.717,第三|車至|車乘|車|第六,76.7|76.7|76.7|76.7|72.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ahesum,5,2.322,願佛,52.164,願佛|生兜瑟|迦葉佛|時始|道行,52.2|52.2|52.2|52.2|50.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
karonti,5,2.322,鞭,53.136,鞭|鐵|截|釜|段,53.1|51.8|50.6|50.6|50.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
panna,5,2.322,瞿曇施,54.561,瞿曇施|知見|設無餘|疑蓋淨|則以,54.6|54.6|54.6|54.6|54.6,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
anupadaparinibbanam,5,2.322,知見,54.561,知見|瞿曇施|有餘稱|疑蓋淨|設無餘,54.6|54.6|54.6|54.6|54.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
bhavitabbam,5,2.322,無事,36.116,無事|詰|當學共論律|答律|訶數,36.1|36.1|36.1|36.1|36.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
janati,5,2.322,習習,36.559,習習|喜愛可法滅|耶若求|此禪|故入,36.6|36.6|34.8|34.8|34.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
savaka,5,2.322,此沙門,37.066,此沙門|眾千|論沙門|阿夷|哆雞舍,37.1|37.1|37.1|37.1|37.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
thanena,5,2.322,相累作,37.549,相累作|足足|常念|梨作|床上,37.5|37.5|37.5|37.5|37.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
bhagavanto,5,2.322,願佛,51.183,願佛|時始|生兜瑟|迦葉佛|道行,51.2|51.2|51.2|51.2|49.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ratthapalassa,5,2.322,懃,49.767,懃|精|賴|獨|吒,49.8|49.8|47.7|47.7|47.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
adhammacari,5,2.322,身體康,50.197,身體康|優婆夷眾|盡樂聞法|數見|優婆塞眾,50.2|50.2|50.2|50.2|50.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
nirayapala,5,2.322,優婆夷眾,50.197,優婆夷眾|數見|優婆塞眾|身體康|盡樂聞法,50.2|50.2|50.2|50.2|50.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
itipi,5,2.322,時始,49.767,時始|生兜瑟|迦葉佛|願佛|道行,49.8|49.8|49.8|49.8|48.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
visamacari,5,2.322,數見,50.197,數見|優婆夷眾|盡樂聞法|身體康|優婆塞眾,50.2|50.2|50.2|50.2|50.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
cittanti,5,2.322,具足戒,45.228,具足戒|廢禪|觀行|當願|空靜處,45.2|45.2|45.2|45.2|45.2,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
pajaneyyam,5,2.322,當願,46.04,當願|廢禪|觀行|空靜處|具足戒,46.0|46.0|46.0|46.0|46.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ajjhattika,5,2.322,當學至,47.471,當學至|慧守護|養|最上|別六界,47.5|47.5|47.5|47.5|47.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
cakkhusotavinneyya,5,2.322,時則,47.502,時則|故入|耶若求|此禪|非為,47.5|47.5|47.5|47.5|46.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
samannesamano,5,2.322,時則,47.502,時則|故入|耶若求|此禪|非為,47.5|47.5|47.5|47.5|46.3,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
samvijjanti,5,2.322,時則,47.502,時則|耶若求|此禪|故入|非為,47.5|47.5|47.5|47.5|46.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
pujeyyum,5,2.322,阿夷,44.967,阿夷|哆雞舍|劍|領大|瞿曇名,45.0|45.0|45.0|45.0|45.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
maneyyum,5,2.322,阿夷,44.967,阿夷|婆利名|劍|論沙門|哆雞舍,45.0|45.0|45.0|45.0|45.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kareyyum,5,2.322,此沙門,44.365,此沙門|瞿曇名|領大|眾千|二百五十,44.4|44.4|44.4|44.4|44.4,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sakkareyyum,5,2.322,領大,45.072,領大|婆利名|劍|眾千|此沙門,45.1|45.1|45.1|45.1|45.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ariyasavako,5,2.322,知六處,45.344,知六處|知六處滅|眼處|六處習|滅六處,45.3|45.3|45.3|45.3|45.3,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
sahapi,5,2.322,慧法,45.353,慧法|法習|不斷|喜愛可法|生不喜,45.4|45.4|45.4|45.4|45.4,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
somanassam,5,2.322,報知,40.104,報知|種藥|服服|不斷|不傷,40.1|40.1|40.1|40.1|40.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
somanassena,5,2.322,不斷,40.104,不斷|喜愛可法|病故|生不喜|咽服,40.1|40.1|40.1|40.1|40.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
katva,5,2.322,阿夷,42.323,阿夷|領大|二百五十|論沙門|此沙門,42.3|42.3|42.3|42.3|42.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
garum,5,2.322,哆雞舍,41.884,哆雞舍|領大|瞿曇名|眾千|劍,41.9|41.9|41.9|41.9|41.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
karissati,5,2.322,苦憂,40.687,苦憂|樂生|不安|義則|隱快,40.7|40.7|40.7|40.7|40.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
aggivessana,5,2.322,那王,42.929,那王|無欲知|無欲見|此地|知者,42.9|42.9|42.9|42.9|42.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
tathagatassa,5,2.322,時則,43.508,時則|耶若求|此禪|故入|非為,43.5|43.5|43.5|43.5|42.4,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
upanissaya,5,2.322,阿夷,43.28,阿夷|劍|瞿曇名|婆利名|論沙門,43.3|43.3|43.3|43.3|43.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
nirayam,5,2.322,優婆塞眾,43.967,優婆塞眾|數見|優婆夷眾|身體康|盡樂聞法,44.0|44.0|44.0|44.0|44.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sakkatva,5,2.322,此沙門,43.804,此沙門|劍|瞿曇名|領大|二百五十,43.8|43.8|43.8|43.8|43.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
