MN_No,MA_No,Mapping_Quality,Pali_Num,Expected_Han,Found_Han,Missing,Pali_Text,Han_Text
10,98,SOFT,cha,6|六,,6|六,yo hi koci bhikkhave ime cattāro satipaṭṭhāne evaṃ bhāveyya cha māsāni pe pañca māsāni cattāri,云何觀心如心念處 比丘者 有欲心知有欲心如真 無欲心知無欲心如真 有恚 無恚 有癡 無癡 有穢污 無穢污 有合 有散 有下 有高 有小 有大 修 不修 定 不定 有不解脫心知不解脫心如真 有解脫心知解脫心如真 如是比丘觀內心如心 觀外心如心 立念在心 有知有見 有明有達 是謂比丘觀心如心 若有比丘 
14,100,TRUE_PAIR,dve,2|二,,2|二,ahaṃ kho āvuso nigaṇṭhā pahomi aniñjamāno kāyena abhāsamāno vācaṃ dve rattindivāni tīṇi rattindivāni,頻鞞娑羅王樂 沙門瞿曇不如也
14,100,TRUE_PAIR,cha,6|六,,6|六,cattāri rattindivāni pañca rattindivāni cha rattindivāni satta rattindivāni ekantasukhaṃ paṭisaṃvedī viharituṃ,我復語曰 汝等癡狂 所說無義 所以者何 汝等不善 無所曉了 而不知時 謂汝作是說 如頻鞞娑羅王樂 沙門瞿曇不如也 尼揵 汝等本應如是問 誰樂勝 為頻鞞娑羅王 為沙門瞿曇耶 尼揵 若我如是說我樂勝 頻鞞娑羅王不如者 尼揵 汝等可得作是語 如頻鞞娑羅王樂 沙門瞿曇不如也 彼諸尼揵即如是說 瞿曇 我等今問
14,100,TRUE_PAIR,satta,7|七,,7|七,cattāri rattindivāni pañca rattindivāni cha rattindivāni satta rattindivāni ekantasukhaṃ paṭisaṃvedī viharituṃ,我復語曰 汝等癡狂 所說無義 所以者何 汝等不善 無所曉了 而不知時 謂汝作是說 如頻鞞娑羅王樂 沙門瞿曇不如也 尼揵 汝等本應如是問 誰樂勝 為頻鞞娑羅王 為沙門瞿曇耶 尼揵 若我如是說我樂勝 頻鞞娑羅王不如者 尼揵 汝等可得作是語 如頻鞞娑羅王樂 沙門瞿曇不如也 彼諸尼揵即如是說 瞿曇 我等今問
32,184,TRUE_PAIR,dve,2|二,,2|二,evaṃ vutte bhante āyasmā mahāmoggallāno maṃ etadavoca idhāvuso sāriputta dve bhikkhū abhidhammakathaṃ kathenti,尊者舍梨子白曰 世尊 賢者阿難如是說已 我復問曰 賢者離越哆 賢者阿難比丘已說隨所知 我今復問賢者離越哆 此牛角
43,211,TRUE_PAIR,dve,2|二,三,2|二,dve kho āvuso paccayā animittāya cetovimuttiyā samāpattiyā sabbanimittānañca amanasikāro animittāya ca dhātuyā manasikāro,尊者大拘絺羅答曰 覺 想 思 此三法合不別 此三法不可別施設 所以者何 覺所覺者 即是想所想 思所思 是故此三法合不別 此三法不可別施設
43,211,TRUE_PAIR,dve,2|二,,2|二,ime kho āvuso dve paccayā animittāya cetovimuttiyā samāpattiyā ti,復問曰 賢者拘絺羅 滅者有何對
91,161,TRUE_PAIR,satta,7|七,一,7|七,tassimāni satta ratanāni bhavanti seyyathidaṃ cakkaratanaṃ hatthiratanaṃ assaratanaṃ maṇiratanaṃ itthiratanaṃ gahapatiratanaṃ pariṇāyakaratanameva sat,復次 尊 沙門瞿曇手足極妙 柔弱軟軟 猶兜羅華 是謂 尊 沙門瞿曇大人大人之相 復次 尊 沙門瞿曇肌皮軟細 塵水不著 是謂 尊 沙門瞿曇大人大人之相 復次 尊 沙門瞿曇一一毛 一一毛者 身一一孔一毛生 色若紺青 如螺右旋 是謂 尊 沙門瞿曇大人大人之相 復次 尊 沙門瞿曇鹿
91,161,TRUE_PAIR,dve,2|二,,2|二,addasā kho uttaro māṇavo bhagavato kāye dvattiṃsamahāpurisalakkhaṇāni yebhuyyena thapetvā dve,復次 尊 我見沙門瞿曇著衣 已著衣 被衣 已被衣 出房 已出房 出園 已出園 行道至村間 入村 已入村 在巷 入家 已入家 正床 已正床 坐 已坐 澡手 已澡手 受飲食 已受飲食 食 已食 澡手呪願 從坐起 出家 已出家 在巷 出村 已出村 入園 已入園 入房 已入房 尊 沙門瞿曇著衣齊整
91,161,TRUE_PAIR,dve,2|二,,2|二,atha kho bhagavato etadahosi passati kho me ayaṃ uttaro māṇavo dvattiṃsamahāpurisalakkhaṇāni yebhuyyena thapetvā dve,彼出房時 身不低仰 尊 沙門瞿曇出房時 終不低身 尊 沙門瞿曇若欲行時 先舉右足 正舉正下 行不擾亂 亦無惡亂 行時兩
