MN_No,MA_No,N_Pali_Chunks,N_Han_Segs,Max_Fanout,Total_Pali_Chars,Mean_Han_Chars,Compression_Ratio,Omission_Severity,Sample_Pali,Sample_Han,Mean_Emb_Sim
39,182,45,1,45,11008,199.0,55.32,EXTREME,so pacchābhattaṃ piṇḍapātapaṭikkanto nisīdati pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā so abhijjhaṃ loke pahāya vigatābhijjhena cetasā viharati abhijjhāya cittaṃ parisodh,云何沙門 謂息止諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂沙門 云何梵志 謂遠離諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂梵志 云何為聖 謂遠離諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂為聖 云何淨浴 謂淨浴諸惡不善之法 諸漏穢污 為當來有本 煩熱苦報 生 老 病 死因 是謂淨浴 是謂沙門 是謂梵志 是謂為聖 是謂淨浴,0.4111
28,30,6,1,9,1469,27.0,54.41,EXTREME,yaṃ tathābhūtassa rūpaṃ taṃ rūpupādānakkhandhe saṅgahaṃ gacchati yā tathābhūtassa vedanā sā vedanupādānakkhandhe saṅgahaṃ gacchati yā tathābhūtassa saññā sā saññupādānakkhandhe saṅgahaṃ gacchati ye ta,尊者舍梨子所說如是 彼諸比丘聞尊者舍梨子所說 歡喜奉行,0.2953
15,89,53,2,41,12638,144.4,43.77,EXTREME,evaṃ jānantenāvuso bhikkhunā codito codakena codakassa na paccāropessāmī ti cittaṃ uppādetabbaṃ yo khvāyaṃ puggalo codito codakena aññenaññaṃ paṭicarati bahiddhā kathaṃ apanāmeti kopañca dosañca appac,諸賢 若比丘不請諸比丘 諸尊 語我 教我 訶我 莫難於我 所以者何 諸賢 或有一人善語 成就善語法 成就善語法故 諸梵行者善語彼 善教 善訶 不難彼人 諸賢 何者善語法 若有成就善語法者 諸梵行者善語彼 善教 善訶 不難彼人 諸賢 或有一人不惡欲 不念欲 諸賢 若有人不惡欲 不念欲者 是謂善語法 如是不染行染,0.3775
8,91,36,2,30,9010,157.0,28.69,EXTREME,seyyathāpi cunda ye keci akusalā dhammā sabbe te adhobhāgaṅgamanīyā ye keci kusalā dhammā sabbe te uparibhāgaṅgamanīyā evameva kho cunda vihiṃsakassa purisapuggalassa avihiṃsā hoti uparibhāgāya pāṇāti,周那 若有不自調御 他不調御欲調御者 終無是處 自沒溺 他沒溺欲拔出者 終無是處 自不般涅槃 他不般涅槃令般涅槃者 終無是處 周那 若有自調御 他不調御欲調御者 必有是處 自不沒溺 他沒溺欲拔出者 必有是處 自般涅槃 他不般涅槃令般涅槃者 必有是處 如是 周那 惡欲者 以非惡欲為般涅槃 害意瞋者 以不害意瞋為般涅槃 殺生 不與取 非梵行者 以梵行為般涅槃 增伺 諍意 睡眠,0.3372
20,101,8,1,8,2034,71.0,28.65,EXTREME,tesaṃ pahānā ajjhattameva cittaṃ santiṭṭhati sannisīdati ekodi hoti samādhiyati yato kho bhikkhave bhikkhuno yaṃ nimittaṃ āgamma yaṃ nimittaṃ manasikaroto uppajjanti pāpakā akusalā vitakkā chandūpasaṃ,念時亦不生惡念 以心修心 受持降伏時亦不生惡念者 便得自在 欲念則念 不念則不念 若比丘欲念則念 不欲念則不念者 是謂比丘隨意諸念 自在諸念跡,0.4288
113,85,27,2,21,6364,119.2,26.69,EXTREME,sappuriso ca kho bhikkhave iti paṭisañcikkhati na kho ñattena lobhadhammā vā parikkhayaṃ gacchanti dosadhammā vā parikkhayaṃ gacchanti mohadhammā vā parikkhayaṃ gacchanti no cepi ñāto hoti yasassī so ,佛言 云何不真人法 或有一人是豪貴族出家學道 餘者不然 彼因是豪貴族故 自貴賤他 是謂不真人法 真人法者作如是觀 我不因此是豪貴族故 斷婬 怒 癡 或有一人不是豪貴出家學道 彼行法如法 隨順於法 向法次法 彼因此故 得供養恭敬 如是趣向得真諦法者 不自貴 不賤他 是謂真人法,0.3601
63,221,8,1,8,1885,80.0,23.56,EXTREME,kiṃ nu tāhaṃ mālukyaputta evaṃ avacaṃ ehi tvaṃ mālukyaputta mayi brahmacariyaṃ cara ahaṃ te byākarissāmi sassato loko ti vā asassato loko ti vā antavā loko ti vā anantavā loko ti vā taṃ jīvaṃ taṃ sarī,如是 世無有常 世有底 世無底 命即是身 為命異身異 如來終 如來不終 如來終不終 如來亦非終亦非不終耶 我本頗為汝如是說此是真諦 餘皆虛妄言 汝來從我學梵行耶,0.4002
6,105,15,1,15,3922,170.0,23.07,EXTREME,iti sākāraṃ sauddesaṃ anekavihitaṃ pubbenivāsaṃ anussareyya nti sīlesvevassa paripūrakārī pe brūhetā suññāgārānaṃ ākaṅkheyya ce bhikkhave bhikkhu dibbena cakkhunā visuddhena atikkantamānusakena satte ,於是 彼比丘聞佛所說 善受善持 即從坐起 稽首佛足 繞三匝而去 彼比丘受佛此教 閑居靜處 宴坐思惟 修行精勤 心無放逸 因閑居靜處 宴坐思惟 修行精勤 心無放逸故 若族姓子所為 剃除鬚髮 著袈裟衣 至信 捨家 無家 學道者 唯無上梵行訖 於現法中自知自覺 自作證成就遊 生已盡 梵行已立 所作已辦 不更受有 知如真 彼尊者知法已 至得阿羅訶,0.3551
1,106,30,2,16,8852,202.8,21.82,EXTREME,taṃ kissa hetu pariññātaṃ tassā ti vadāmi āpaṃ pe tejaṃ vāyaṃ bhūte deve pajāpatiṃ brahmaṃ ābhassare subhakiṇhe vehapphale abhibhuṃ ākāsānañcāyatanaṃ viññāṇañcāyatanaṃ ākiñcaññāyatanaṃ nevasaññānāsaññ,我於地則知地 地非是神 地非神所 神非地所 我不計地即是神已 我便知地 如是水 火 風 神 天 生主 梵天 無煩 無熱 我於淨則知淨 淨非是神 淨非神所 神非淨所 我不計淨即是神已 我便知淨 無量空處 無量識處 無所有處 非有想非無想處 一 別 若干 見 聞 識 知 得觀意所念 意所思 從此世至彼世 從彼世至此世 我於一切則知一切 一切非是神 一切非神所 神非一切所 我不計一切即是神已 我便知一切,0.3451
101,19,60,5,24,14343,137.7,20.84,EXTREME,sace āvuso nigaṇṭhā yasmiṃ vo samaye tibbo upakkamo hoti tibbaṃ padhānaṃ na tibbā tasmiṃ samaye opakkamikā dukkhā tibbā kaṭukā vedanā vediyetha yasmiṃ pana vo samaye na tibbo upakkamo hoti na tibbaṃ p,彼或欲斷苦因 行欲 或欲斷苦因 行捨欲 彼若欲斷苦因 行欲者 即修其行欲 已斷者 苦便得盡 彼若欲斷苦因 行捨欲者 即修其行捨欲 已斷者 苦便得盡 若彼比丘便作是念 隨所為 隨所行 不善法生而善法滅 若自斷苦 不善法滅而善法生 我今寧可自斷其苦 便自斷苦 自斷苦已 不善法滅而善法生 不復斷苦 所以者何 比丘 本所為者 其義已成 若復斷苦 是處不然,0.3657
