MN_No,MA_No,Pali_Chunk_ID,Han_Seg_ID,Mapping_Quality,Han_Fanout,Confidence_Tier,Emb_Sim_Combined,Lex_Overlap,Hyb_Similarity,P_Char_Len,H_Char_Len,Div_Score,Div_Type,Div_Confidence,Missing_Term_Score,Len_Asymmetry,Emb_Z,Sutta_Emb_Mean,Sutta_Emb_Std,Missing_Terms,Present_Terms,Pali_Text,Han_Text
82,132,MN.82.c098,MA.132.105,TRUE_PAIR,1,3,0.0421,0.0,0.0253,124,7,0.9832,SEMANTIC_DRIFT,HIGH,1.0,4.147,2.553,0.2141,0.0674,sabbam|pahaya|katham,,assako loko sabbaṃ pahāya gamanīya nti bhavaṃ raṭṭhapālo āha imassa pana bho raṭṭhapāla bhāsitassa kathaṃ attho daṭṭhabbo ti,治者 我必取之
121,190,MN.121.c008,MA.190.4,TRUE_PAIR,1,3,0.0631,0.0,0.0378,247,1,0.9748,OMISSION,HIGH,1.0,7.948,0.974,0.1719,0.1117,seyyathapi|ananda|evameva|bhikkhu|sabbam|paticca,,seyyathāpi ānanda āsabhacammaṃ saṅkusatena suvihataṃ vigatavalikaṃ evameva kho ānanda bhikkhu yaṃ imissā pathaviyā ukkūlavikkūlaṃ nadīviduggaṃ khāṇukaṇṭakaṭṭhānaṃ pabbatavisamaṃ taṃ sabbaṃ amanasikaritvā pathavīsaññaṃ paṭicca manasi karoti ekattaṃ,耶
50,131,MN.50.c040,MA.131.68,TRUE_PAIR,1,3,0.0821,0.0,0.0492,207,23,0.9672,SEMANTIC_DRIFT,HIGH,1.0,3.17,2.618,0.2715,0.0723,papima|tamha|tassa|honti|itipi,,sahāpalokanāya ca pana pāpima dūsī māro tamhā ca ṭhānā cavi mahānirayañca upapajji tassa kho pana pāpima mahānirayassa tayo nāmadheyyā honti chaphassāyataniko itipi saṅkusamāhato itipi paccattavedaniyo itipi,魔汝莫厭佛 莫嬈害比丘 一比丘降魔 住在於怖林
125,198,MN.125.c057,MA.198.41,TRUE_PAIR,1,3,0.0836,0.0,0.0502,169,17,0.9666,SEMANTIC_DRIFT,HIGH,1.0,3.313,2.024,0.2428,0.0787,cepi|ranno|avinito|sankham|gacchati,,mahallako cepi aggivessana rañño nāgo adanto avinīto kālaṅkaroti adantamaraṇaṃ mahallako rañño nāgo kālaṅkato tveva saṅkhaṃ gacchati majjhimo cepi aggivessana rañño nāgo,可重 實可供養 為一切天人良福田也
21,193,MN.21.c001,MA.193.1,TRUE_PAIR,1,3,0.0851,0.0,0.0511,180,21,0.966,SEMANTIC_DRIFT,HIGH,1.0,3.1,2.775,0.2438,0.0572,ekam|bhagava|viharati|tena|samayena|ayasma|saddhim,,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena āyasmā moḷiyaphagguno bhikkhunīhi saddhiṃ ativelaṃ saṃsaṭṭho viharati,我聞如是 一時 佛遊舍衛國 在勝林給孤獨園
40,183,MN.40.c006,MA.183.3,TRUE_PAIR,1,3,0.0458,0.0833,0.0608,274,11,0.965,OMISSION,HIGH,1.0,4.639,1.481,0.2483,0.1367,vadami,,nāhaṃ bhikkhave ubbhaṭṭhakassa ubbhaṭṭhakamattena sāmaññaṃ vadāmi nāhaṃ bhikkhave pariyāyabhattikassa pariyāyabhattikamattena sāmaññaṃ vadāmi nāhaṃ bhikkhave mantajjhāyakassa mantajjhāyakamattena sāmaññaṃ vadāmi nāhaṃ bhikkhave jaṭilakassa jaṭādhāraṇamattena sāmaññaṃ vadāmi,諸比丘白曰 爾也 世尊
93,151,MN.93.c001,MA.151.1,TRUE_PAIR,1,3,0.092,0.0,0.0552,213,21,0.9632,SEMANTIC_DRIFT,HIGH,1.0,3.342,1.969,0.237,0.0737,ekam|bhagava|viharati|tena|samayena,,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena nānāverajjakānaṃ brāhmaṇānaṃ pañcamattāni brāhmaṇasatāni sāvatthiyaṃ paṭivasanti kenacideva karaṇīyena,我聞如是 一時 佛遊舍衛國 在勝林給孤獨園
78,179,MN.78.c003,MA.179.3,TRUE_PAIR,1,3,0.0935,0.0,0.0561,285,26,0.9626,OMISSION,HIGH,1.0,3.454,1.138,0.2431,0.1315,yena|pancakango|thapati,,yaṃnūnāhaṃ yena samayappavādako tindukācīro ekasālako mallikāya ārāmo yena uggāhamāno paribbājako samaṇamuṇḍikāputto tenupasaṅkameyya nti atha kho pañcakaṅgo thapati yena samayappavādako tindukācīro ekasālako mallikāya ārāmo yena uggāhamāno paribbājako samaṇamuṇḍikāputto tenupasaṅkami,一娑邏末利異學園 於是 五支物主便至比道遊戲歡樂 近
75,153,MN.75.c024,MA.153.20,TRUE_PAIR,1,3,0.0942,0.0,0.0565,166,12,0.9623,SEMANTIC_DRIFT,HIGH,1.0,3.79,1.958,0.2593,0.0843,kamehi|annatra|akusalehi|dhammehi|sukham|taya|tattha,,yāhayaṃ māgaṇḍiya rati aññatreva kāmehi aññatra akusalehi dhammehi api dibbaṃ sukhaṃ samadhigayha tiṭṭhati tāya ratiyā ramamāno hīnassa na pihemi na tattha abhiramāmi,壞地 敗壞地者 無可用耶
22,200,MN.22.c025,MA.200.12,TRUE_PAIR,1,3,0.0945,0.0,0.0567,179,11,0.9622,SEMANTIC_DRIFT,HIGH,1.0,4.024,2.388,0.259,0.0689,tvam|attana|ceva|bhavissati,,atha ca pana tvaṃ moghapurisa attanā duggahitena amhe ceva abbhācikkhasi attānañca khanasi bahuñca apuññaṃ pasavasi tañhi te moghapurisa bhavissati dīgharattaṃ ahitāya dukkhāyā ti,法答 我今當問諸比丘也
