MN_No,MA_No,Pali_Chunk_ID,Han_Seg_ID,Mapping_Quality,Han_Fanout,Confidence_Tier,Emb_Sim_Combined,Lex_Overlap,Hyb_Similarity,P_Char_Len,H_Char_Len,Div_Score,Div_Type,Div_Confidence,Missing_Term_Score,Len_Asymmetry,Emb_Z,Sutta_Emb_Mean,Sutta_Emb_Std,Missing_Terms,Present_Terms,Pali_Text,Han_Text
1,106,MN.1.c039,MA.106.6,TRUE_PAIR,1,3,0.0989,0.0667,0.086,288,18,0.8721,OMISSION,MEDIUM,0.75,4.0,0.0,0.0989,0.0738,kissa|hetu|viditva|bhava|jati|tathagato|sabbaso|nirodha,idamavoca|bhagavato|bhasitam|abhinandunti,taṃ kissa hetu nandī dukkhassa mūla nti iti viditvā bhavā jāti bhūtassa jarāmaraṇa nti tasmātiha bhikkhave tathāgato sabbaso taṇhānaṃ khayā virāgā nirodhā cāgā paṭinissaggā anuttaraṃ sammāsambodhiṃ abhisambuddho ti vadāmī ti idamavoca bhagavā na te bhikkhū bhagavato bhāsitaṃ abhinandunti,佛說如是 彼諸比丘聞佛所說 歡喜奉行
2,10,MN.2.c001,MA.10.1,TRUE_PAIR,1,2,0.3292,0.0,0.1975,297,23,0.8308,OMISSION,HIGH,0.875,3.691,-1.013,0.2612,0.0671,ekam|bhagava|viharati|bhikkhu|bhagavato|paccassosum|etadavoca,amantesi,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tatra kho bhagavā bhikkhū āmantesi bhikkhavo ti bhadante ti te bhikkhū bhagavato paccassosuṃ bhagavā etadavoca sabbāsavasaṃvarapariyāyaṃ vo bhikkhave desessāmi taṃ suṇātha sādhukaṃ manasi karotha bhāsissāmī ti,我聞如是 一時 佛遊拘樓瘦 在劒磨瑟曇拘樓都邑
2,10,MN.2.c002,MA.10.2,TRUE_PAIR,1,2,0.3345,0.2105,0.2849,250,45,0.7816,OMISSION,MEDIUM,0.9167,2.474,-1.092,0.2612,0.0671,bhante|bhikkhu|bhagavato|paccassosum|bhagava|janato|aham|passato,etadavoca,evaṃ bhante ti kho te bhikkhū bhagavato paccassosuṃ bhagavā etadavoca jānato ahaṃ bhikkhave passato āsavānaṃ khayaṃ vadāmi no ajānato no apassato kiñca bhikkhave jānato kiñca passato āsavānaṃ khayaṃ vadāmi yoniso ca manasikāraṃ ayoniso ca manasikāraṃ,爾時 世尊告諸比丘 以知 以見故諸漏得盡 非不知 非不見也 云何以知 以見故諸漏得盡耶 有
2,10,MN.2.c003,MA.10.3,TRUE_PAIR,1,3,0.2798,0.0909,0.2042,190,81,0.6609,UNCERTAIN,MEDIUM,0.5,1.23,-0.277,0.2612,0.0671,ceva,asava,ayoniso bhikkhave manasikaroto anuppannā ceva āsavā uppajjanti uppannā ca āsavā pavaḍḍhanti yoniso ca kho bhikkhave manasikaroto anuppannā ceva āsavā na uppajjanti uppannā ca āsavā pahīyanti,正思惟 不正思惟 若不正思惟者 未生欲漏而生 已生便增廣 未生有漏 無明漏而生 已生便增廣 若正思惟者 未生欲漏而不生 已生便滅 未生有漏 無明漏而不生 已生便滅
2,10,MN.2.c014,MA.10.8,TRUE_PAIR,1,3,0.1819,0.0,0.1092,58,3,0.6272,UNCERTAIN,HIGH,0.0,4.273,1.183,0.2612,0.0671,,,sassato avipariṇāmadhammo sassatisamaṃ tatheva ṭhassatī ti,思惟斷
2,10,MN.2.c021,MA.10.11,TRUE_PAIR,1,2,0.3362,0.0,0.2017,285,141,0.7394,SEMANTIC_DRIFT,HIGH,0.8,1.015,-1.118,0.2612,0.0671,dukkha|ayam|patipada|tassa,sakkayaditthi,so idaṃ dukkha nti yoniso manasi karoti ayaṃ dukkhasamudayo ti yoniso manasi karoti ayaṃ dukkhanirodho ti yoniso manasi karoti ayaṃ dukkhanirodhagāminī paṭipadā ti yoniso manasi karoti tassa evaṃ yoniso manasikaroto tīṇi saṃyojanāni pahīyanti sakkāyadiṭṭhi vicikicchā sīlabbataparāmāso,云何有漏從護斷耶 比丘 眼見色護眼根者 以正思惟不淨觀也 不護眼根者 不正思惟以淨觀也 若不護者 則生煩惱 憂慼 護則不生煩惱 憂慼 如是耳 鼻 舌 身 意知法 護意根者 以正思惟不淨觀也 不護意根者 不正思惟以淨觀也 若不護者 則生煩惱 憂慼 護則不生煩惱 憂慼 是謂有漏從護斷也
2,10,MN.2.c040,MA.10.19,TRUE_PAIR,1,3,0.2187,0.0,0.1312,161,1,0.9125,OMISSION,HIGH,1.0,7.331,0.635,0.2612,0.0671,asava|honti,,yañhissa bhikkhave abhāvayato uppajjeyyuṃ āsavā vighātapariḷāhā bhāvayato evaṃsa te āsavā vighātapariḷāhā na honti ime vuccanti bhikkhave āsavā bhāvanā pahātabbā,也
2,10,MN.2.c043,MA.10.21,TRUE_PAIR,1,3,0.1818,0.0,0.1091,64,1,0.9273,OMISSION,HIGH,1.0,6.0,1.185,0.2612,0.0671,samma,,vivattayi saṃyojanaṃ sammā mānābhisamayā antamakāsi dukkhassā ti,際
2,10,MN.2.c044,MA.10.22,TRUE_PAIR,1,3,0.2279,0.1429,0.1939,69,18,0.6306,UNCERTAIN,MEDIUM,0.2857,1.939,0.497,0.2612,0.0671,bhagava|bhikkhu,idamavoca|attamana|bhagavato|bhasitam|abhinandunti,idamavoca bhagavā attamanā te bhikkhū bhagavato bhāsitaṃ abhinandunti,佛說如是 彼諸比丘聞佛所說 歡喜奉行
3,88,MN.3.c001,MA.88.1,TRUE_PAIR,1,2,0.4051,0.25,0.3431,248,86,0.7014,OMISSION,MEDIUM,0.875,1.528,-1.167,0.3207,0.0723,ekam|bhagava|viharati|bhikkhu|bhagavato|paccassosum|etadavoca,amantesi,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tatra kho bhagavā bhikkhū āmantesi bhikkhavo ti bhadante ti te bhikkhū bhagavato paccassosuṃ bhagavā etadavoca dhammadāyādā me bhikkhave bhavatha mā āmisadāyādā,我聞如是 一時 佛遊拘爾時 世尊告諸比丘 汝等當行求法 莫行求飲食 所以者何 我慈愍弟子故 欲令行求法 不行求飲食 若汝等行求飲食 不行求法者 汝等既自惡 我亦無名稱 若汝
